id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
17747,BLUE TRIM GUEST HOUSE,68599,George,Brooklyn,Clinton Hill,Private room,105,2,105,0.92,304
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,Entire home/apt,190,5,21,0.2,224
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,Private room,200,1,142,1.5,322
18590,Fort Greene Retreat on the Park,71512,Blaise,Brooklyn,Fort Greene,Private room,95,3,143,1.28,132
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,Private room,150,3,167,1.65,295
18764,Cozy 2 BR in Williamsburg ,72014,Lulú,Brooklyn,Williamsburg,Private room,145,3,61,0.54,238
19169,Entire 2 Bedroom - Large & Sunny,73128,JoLynn,Manhattan,Lower East Side,Entire home/apt,285,5,70,0.62,328
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,Entire home/apt,130,6,16,0.15,38
19601,perfect for a family or small group,74303,Maggie,Brooklyn,Brooklyn Heights,Entire home/apt,800,1,25,0.24,7
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,Entire home/apt,105,3,61,0.53,272
20299,Oh glorious spring!,62407,Edward,Manhattan,East Village,Private room,60,3,194,1.73,26
20611,Cozy Bedroom in Williamsburg 3 BR,72014,Lulú,Brooklyn,Williamsburg,Private room,85,3,174,1.54,288
20724,Sunny room+Pvte office in huge loft,961342,Augustin,Brooklyn,Bushwick,Private room,65,4,24,0.28,317
20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Brooklyn,Prospect Heights,Entire home/apt,131,4,166,3.4,207
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,Private room,98,7,16,0.2,185
20853,2-bed brownstone duplex + garden,79070,Tracy,Brooklyn,Prospect Heights,Entire home/apt,250,7,21,0.3,158
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,Brooklyn,Williamsburg,Entire home/apt,100,5,168,1.57,0
21293,Sunny Apartment in Artist Home,44145,Tyrome,Brooklyn,Bushwick,Entire home/apt,105,3,118,1.05,9
21456,Light-filled classic Central Park ,42032,Dana,Manhattan,Upper West Side,Entire home/apt,140,3,81,0.71,198
22911,The Stuydio Modern and Light Filled,87773,Shelly,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,139,1.23,311
22918,loft bed - near transportation-15min to times sq,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,60,3,11,0.87,219
23135,House On Henry (3rd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt,175,2,233,2.09,342
23501,Monkey Retreat Manhattan,63318,Meka,Manhattan,Washington Heights,Private room,65,2,68,0.6,312
23686,2000 SF 3br 2bath West Village private  townhouse,93790,Ann,Manhattan,West Village,Entire home/apt,500,4,46,0.55,243
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Seth,Brooklyn,Williamsburg,Private room,101,3,335,3.02,152
25696,"1,800 sq foot in luxury building",107628,Dena,Manhattan,Harlem,Private room,100,2,170,1.61,346
26362,"Times Square, Safe, Clean and Cozy!",59734,Luiz,Manhattan,Hell's Kitchen,Private room,59,2,334,3.0,279
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Erica,Brooklyn,Clinton Hill,Private room,125,2,19,0.2,250
26559,Beautiful Apartment East Village,112793,Sally,Manhattan,East Village,Entire home/apt,140,7,12,0.13,164
26954,NYC fabulous views Manhattan's eye,115157,Nimo,Manhattan,Kips Bay,Entire home/apt,199,5,38,0.38,260
26969,2 story family home in Williamsburg,115307,Alexandra,Brooklyn,Williamsburg,Entire home/apt,325,3,324,3.01,107
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,Stacy,Manhattan,Upper West Side,Entire home/apt,235,6,27,0.27,199
27385,Great Large 1 BR apt  in East Village!,72062,Bruce,Manhattan,East Village,Entire home/apt,225,1,115,1.05,299
27531,Eveland Private Bed & Living Room w/ Own Entrance,118971,Evelyn,Brooklyn,South Slope,Private room,99,2,354,3.2,20
27644,Sugar Hill Rest Stop ,119510,Emma,Manhattan,Harlem,Entire home/apt,170,2,195,2.03,318
27659,3 Story Town House in Park Slope,119588,Vero,Brooklyn,South Slope,Entire home/apt,400,2,16,0.24,216
27759,apartment next to Central park,119900,Sylvie,Manhattan,Upper West Side,Entire home/apt,170,7,13,0.12,224
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,Entire home/apt,100,4,25,0.23,0
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,Entire home/apt,150,5,21,0.19,189
29013,B & B Room 1,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,70,3,63,0.58,310
29455,ACCOMMODATIONS GALORE #1,126607,Laurine,Manhattan,Harlem,Entire home/apt,120,3,155,1.42,213
29628,Sunny Room in New Condo,127608,Chris,Brooklyn,Clinton Hill,Private room,89,3,260,2.35,278
29683,Stylish & Sleek Apartment Near SoHo!,125857,Uli,Manhattan,East Village,Entire home/apt,185,5,73,0.66,209
30031,NYC artists’ loft with roof deck,129352,Sol,Brooklyn,Greenpoint,Private room,50,3,193,1.86,0
30927,Unique & Charming small 1br Apt. LES,120335,Cs,Manhattan,Lower East Side,Entire home/apt,105,3,32,0.29,16
31130,Most Central Location!,117287,Lara,Manhattan,Hell's Kitchen,Private room,130,2,50,0.45,234
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,Private room,76,2,426,3.89,275
32023,FLAT MACDONOUGH,137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,2.09,163
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,Private room,135,4,84,0.77,365
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Elisabeth,Brooklyn,Williamsburg,Entire home/apt,199,3,10,0.1,280
32965,FLAT MACDONOUGH GARDEN,137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,1.72,170
32969,Light filled Williamsburg Apartment,142833,Katherine,Brooklyn,Williamsburg,Entire home/apt,160,3,11,0.11,188
33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,Entire home/apt,195,4,240,2.19,214
33014,NYC Zen,143048,Paula,Manhattan,East Village,Entire home/apt,195,3,30,0.28,248
33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Lulú,Brooklyn,Williamsburg,Private room,80,3,200,1.86,262
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,Private room,44,8,27,1.05,280
35526,Sun Filled Classic West Village Apt,120291,Karen,Manhattan,West Village,Private room,156,4,79,0.74,307
36133,Classic Artist Loft Williamsburg,142684,White,Brooklyn,Williamsburg,Private room,125,3,155,1.61,1
36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,Private room,69,2,34,0.32,10
36934,Great location in Williamsburg,159370,Viviana,Brooklyn,Williamsburg,Entire home/apt,125,6,27,0.25,189
38638,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,Manhattan,Upper East Side,Entire home/apt,219,4,126,1.16,290
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,Entire home/apt,475,3,23,0.27,230
39267,CENTRAL PARK LOFT all for YOU,168417,Marie,Manhattan,Upper East Side,Entire home/apt,99,1,234,2.6,164
39282,Indie-Chic Share In Williamsburg,168525,Gus,Brooklyn,Williamsburg,Private room,69,4,202,1.86,53
39704,"Private, Large & Sunny 1BR w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,2.86,3
40039,Luxurious Condo in DUBMO with View,171851,Henry,Brooklyn,DUMBO,Private room,250,3,14,0.13,189
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,180083,Syl,Brooklyn,Gowanus,Entire home/apt,250,2,80,2.17,0
42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Brooklyn,Clinton Hill,Private room,70,2,294,3.47,336
42729,House On Henry (2nd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,1.4,342
42882,New York room with a view,185978,Newyorkroomwithaview,Staten Island,St. George,Private room,70,2,166,1.66,312
43957,Sunny cozy room in Brklyn townhouse,177536,Tessa,Brooklyn,Bushwick,Private room,50,2,47,0.94,37
44096,Room with a View,190409,Waundell,Bronx,Highbridge,Private room,40,1,219,2.04,353
44161,Light+Open+Airy+Rustic+Modern Loft,193360,Young,Brooklyn,Williamsburg,Entire home/apt,150,2,193,1.78,177
44212,West Inn 2 - East Village,72062,Bruce,Manhattan,East Village,Private room,125,1,84,0.78,310
44221,Financial District Luxury Loft,193722,Coral,Manhattan,Financial District,Entire home/apt,196,3,114,1.06,0
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,Private room,110,2,213,2.0,321
44288,Your own Lovely West Village Studio,193637,Sara,Manhattan,West Village,Entire home/apt,170,3,86,0.8,246
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Laurine,Manhattan,Harlem,Entire home/apt,165,3,80,0.75,231
45542,Clean and Cozy Harlem Apartment,202249,Campbell,Manhattan,Harlem,Entire home/apt,100,2,18,1.79,0
45556,"Fort Greene, Brooklyn: Center Bedroom",67778,Doug,Brooklyn,Fort Greene,Private room,65,2,206,1.92,0
45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Queens,Ridgewood,Entire home/apt,350,8,10,0.11,365
45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,Private room,99,4,122,1.18,233
45940,Bright Spacious Luxury Condo,204724,Miyoung,Brooklyn,Williamsburg,Entire home/apt,200,4,33,0.58,1
46544,Park Slope haven 15 mins from Soho,8198,Monica,Brooklyn,Park Slope,Entire home/apt,150,5,52,0.5,18
46723,SAFE  AND BEAUTIFUL ACCOMODATION,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,Private room,90,3,126,1.17,343
46911,Large Room in private Brownstone in Park Slope,210746,Kathleen R.,Brooklyn,Prospect Heights,Private room,120,3,51,0.48,250
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,Teresa,Manhattan,Upper East Side,Private room,75,3,199,1.85,326
47926,LUX APT IN TIMES SQUARE NEW BUILDING,218404,Claudia,Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,0.38,299
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,Shane,Manhattan,Lower East Side,Entire home/apt,299,2,109,1.04,207
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,9744,Laurie,Brooklyn,South Slope,Entire home/apt,135,5,151,1.43,162
51485,Lower East Side $57~/night,236655,Erina,Manhattan,Lower East Side,Private room,83,1,285,2.69,7
51572,Prime Location in Manhattan,237329,Lee,Manhattan,Chelsea,Private room,123,1,375,3.52,328
51850,( F) Excellent/Pvt Rm,27848,Jullett,Queens,Jamaica,Private room,55,2,52,0.49,365
53137,"Quiet, sunny Midtown Manhattan apt.",240360,Marlaine,Manhattan,Hell's Kitchen,Entire home/apt,195,5,10,1.01,0
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,247432,Charlotte,Brooklyn,Bedford-Stuyvesant,Private room,80,2,11,0.48,0
53477,3 floors of luxury!,204539,Mark,Queens,Middle Village,Entire home/apt,265,7,38,0.38,365
54158,The Institute—Heart of Williamsburg,10889,Bob,Brooklyn,Williamsburg,Entire home/apt,249,2,358,3.44,164
54453,MIDTOWN WEST - Large alcove studio,255583,Anka,Manhattan,Hell's Kitchen,Shared room,105,6,10,0.09,363
54508,Sml Rm in pr Brst  Park Sl great for Med/students,210746,Kathleen R.,Brooklyn,Prospect Heights,Private room,100,2,226,2.12,250
54544,City Room - Private Penthouse Apt.,256161,Wayne,Manhattan,Harlem,Entire home/apt,121,1,104,1.0,247
54626,Cozy bedroom by Yankee Stadium,190409,Waundell,Bronx,Highbridge,Private room,45,1,138,1.45,323
54860,Great apartment with private bathroom and entrance,258164,Jenny,Manhattan,East Harlem,Private room,100,5,204,1.92,192
55467,Private Garden Apt • New Renovation,260709,Paul,Brooklyn,Williamsburg,Entire home/apt,140,2,253,3.04,125
55498,Modern comfort in art infused landmark Brownstone,262138,Tami,Brooklyn,Bedford-Stuyvesant,Private room,71,2,23,0.22,91
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",88209,Jason,Manhattan,NoHo,Private room,130,2,115,1.17,75
55737,Sleek & Comfortable Soho Apt,263414,Pete,Manhattan,West Village,Entire home/apt,199,5,129,1.22,286
55959,Spacious Williamsburg Share w/ LOFT BED,168525,Gus,Brooklyn,Williamsburg,Private room,69,4,82,1.13,60
55982,Cozy 2 br in sunny Fort Greene apt,264928,Sally,Brooklyn,Fort Greene,Private room,68,3,37,0.35,0
56467,Cozy East Village Railroad 1 Bed!,267593,Leonardo,Manhattan,East Village,Entire home/apt,130,1,204,2.04,192
56525,1 Bedroom Loft w/ Private Roof Deck,268014,Alex,Brooklyn,Greenpoint,Entire home/apt,195,2,69,0.65,58
56859,City Room - Private & Comfy Bedroom,256161,Wayne,Manhattan,Harlem,Private room,64,1,192,1.84,245
57166,Elegant NYC Pad,272006,Vasili,Queens,Ditmars Steinway,Entire home/apt,140,2,17,0.16,292
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,S.M.,Brooklyn,Cobble Hill,Entire home/apt,159,2,222,2.12,279
57468,"Modern, Large East Village Loft",239208,Ori,Manhattan,East Village,Entire home/apt,189,3,205,1.96,0
57618,"Great new apt, close to everything",274557,Ana,Manhattan,Hell's Kitchen,Entire home/apt,250,3,94,0.96,3
57754,Stylish Large Gramercy Loft!,275578,R,Manhattan,Flatiron District,Entire home/apt,305,2,108,1.09,201
57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,Simon,Manhattan,Harlem,Entire home/apt,155,3,222,2.1,232
58059,PRIVATE Room on Historic Sugar Hill,277379,Agnes,Manhattan,Harlem,Private room,60,1,458,4.58,258
58062,South Slope Green,277394,Linda,Brooklyn,Windsor Terrace,Private room,135,2,21,0.26,272
58467,"17 Flr. Manhattan Views, Nr. Subway",279797,Dave,Manhattan,Roosevelt Island,Private room,120,7,17,0.3,341
59014,"Spacious 1BR, Adorable Clean Quiet",282927,Drica,Manhattan,Lower East Side,Entire home/apt,150,3,41,0.39,244
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,274782,Betty,Brooklyn,Greenpoint,Entire home/apt,135,2,69,0.67,12
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",186084,Ricardo & Ashlie,Manhattan,Chinatown,Entire home/apt,250,4,18,0.18,265
60164,"Beautiful, elegant 3 bed SOHO loft",289653,Harrison,Manhattan,SoHo,Entire home/apt,500,4,94,0.99,329
60457,Spacious Greenwich Village Apt,99212,Jessica,Manhattan,Greenwich Village,Entire home/apt,225,5,10,0.1,91
60666,City Room - Private Luxury Suite,256161,Wayne,Manhattan,Harlem,Private room,92,1,189,1.82,253
60680,The gem of the East Village,292630,Mich,Manhattan,East Village,Entire home/apt,99,2,127,1.22,320
60948,ACCOMMODATIONS GALORE #2,126607,Laurine,Manhattan,East Harlem,Entire home/apt,140,3,135,1.3,192
61167,Colorful Private One Bedroom Apt,295760,Greta,Manhattan,Little Italy,Entire home/apt,135,2,21,0.2,0
61224,Huge Chelsea Loft,291112,Frank,Manhattan,Chelsea,Entire home/apt,500,2,35,0.34,348
61406,Great room in great location,297176,Bethania,Manhattan,Harlem,Private room,80,14,10,2.21,0
61492,Exclusive Room with Private Bath in  LES,297769,Tunji,Manhattan,Chinatown,Private room,120,4,171,1.8,353
62095,BK Sweet Suite w/Kitchen&FullBath,281764,Colette&Sean,Brooklyn,East Flatbush,Entire home/apt,65,3,238,2.3,2
62430,BROWNSTONE SUNDRENCHED BEAUTY,197755,Sheila,Brooklyn,Bushwick,Entire home/apt,99,3,111,2.13,68
62452,A SpeciaL!! Private Room in NY,303939,Lissette,Staten Island,Tompkinsville,Private room,36,2,193,1.85,360
62461,B NYC Staten Alternative...,303939,Lissette,Staten Island,Tompkinsville,Private room,37,2,147,1.44,0
62787,C Private Room By The Ferry,303939,Lissette,Staten Island,Tompkinsville,Private room,37,2,177,1.71,320
62891,Smallest House In The Village,306545,Olivia,Manhattan,East Village,Entire home/apt,175,3,185,1.78,326
62903,Beautiful modern studio apartment in heart of NYC,306605,Daniel,Manhattan,Chelsea,Entire home/apt,205,9,62,0.7,76
62925,Beautiful Landmarked Duplex,306739,Maya,Brooklyn,Greenpoint,Entire home/apt,285,3,124,1.22,279
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,308875,Scott,Brooklyn,Williamsburg,Private room,59,2,181,1.77,15
63320,D Private Che@p Room 2 Explore NYC,303939,Lissette,Staten Island,Tompkinsville,Private room,36,2,333,3.19,340
63360,Safe cute near subway& Manhattan NY NY retro style,307962,Dennis & Naoko,Queens,Astoria,Entire home/apt,99,5,441,4.5,226
63546,Large and Cozy Private Bedroom,308652,Antonín,Brooklyn,Kensington,Private room,39,1,45,0.46,365
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,310670,Vie,Bronx,Eastchester,Entire home/apt,105,2,38,0.5,365
63657,"Private, Large & Sunny Top Floor Apt  w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,248,2.39,11
63693,Cottage in the Village,306545,Olivia,Manhattan,East Village,Entire home/apt,390,5,143,1.38,316
63719,BEDROOM1 FOR RENT 10min from Manhan,311286,Helene,Brooklyn,Bedford-Stuyvesant,Private room,70,3,36,0.41,281
64107,BROOKLYN  STUDIO APARTMENT,313317,Niya,Brooklyn,Crown Heights,Private room,100,3,279,2.69,301
64277,BEDROOM2 FOR RENT  10min from Manh,311286,Helene,Brooklyn,Bedford-Stuyvesant,Private room,70,4,18,0.22,189
64314,cozy bedroom in lovely garden apt,314256,Debbie,Brooklyn,Crown Heights,Private room,110,6,50,3.55,0
64365,Crown Heights Garden Apt.,314582,Anthony,Brooklyn,Crown Heights,Private room,60,2,227,2.27,287
64837,ENJOY Downtown NYC!!,46978,Edward,Manhattan,East Village,Private room,68,2,203,1.96,86
65019,Charming UWS Treehouse Apt,317809,Claire,Manhattan,Upper West Side,Entire home/apt,115,2,210,2.1,261
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,319092,Juhli,Brooklyn,Bedford-Stuyvesant,Private room,75,5,64,0.67,68
65615,Farmhouse Apartment in Williamsburg,320761,Valerie,Brooklyn,Williamsburg,Entire home/apt,130,10,49,0.48,152
65660,Bright+Spacious Williamsburg Abode!,320538,Larissa,Brooklyn,Williamsburg,Entire home/apt,95,4,132,1.27,46
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",321756,Eric,Manhattan,Harlem,Private room,75,3,20,0.26,364
65834,Beautiful 1 Bedroom Apt Park Slope,321934,Jessica,Brooklyn,Park Slope,Entire home/apt,175,2,11,0.11,246
66008,CHARMING CARROLL GARDENS APT.,322884,Melissa,Brooklyn,Carroll Gardens,Entire home/apt,190,3,51,0.57,288
66251,East Village Loft with Piano & Patio,324460,Samir,Manhattan,East Village,Entire home/apt,212,3,67,1.31,51
66275,Lower East Side Magic Room,314941,Tony,Manhattan,Lower East Side,Private room,95,1,109,1.11,364
66718,West Harlem Home Base - Eco-Apt.,136227,Henning,Manhattan,Harlem,Entire home/apt,135,6,187,1.87,189
66741,Charming Garden Apt in Park Slope,327673,Stefano,Brooklyn,Park Slope,Entire home/apt,150,2,214,2.08,263
66974,"Lovely, Modern, Garden Apartment",329436,Jana,Brooklyn,Gowanus,Entire home/apt,190,3,69,0.79,258
67397,SoHa comfort-by NW Central Park!,332189,Elise,Manhattan,Morningside Heights,Private room,122,3,93,0.93,246
68099,Cozy room in Upper West Side,323517,Deda,Manhattan,Upper West Side,Private room,109,1,104,1.05,364
68403,The Cozy Brownstone Inn (discount)!,240427,Naimah,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,127,1.25,72
68735,Prewar Penthouse w Private Terrace,342054,Violetta,Manhattan,Upper West Side,Entire home/apt,195,11,30,0.32,249
68765,Designer 2.5 BR Loft in Carroll Gardens by Subway,282655,Jenna,Brooklyn,Carroll Gardens,Entire home/apt,250,2,106,1.34,272
68974,Unique spacious loft on the Bowery,281229,Alicia,Manhattan,Little Italy,Entire home/apt,575,2,191,1.88,298
69921,Brooklyn Writer's Nook,155689,Joab,Brooklyn,Bushwick,Private room,70,5,47,0.49,203
