id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,value_score
8025,CBG Helps Haiti Room#2.5,22486,Lisel,Brooklyn,Park Slope,Private room,80,1,39,0.37,364,0.6678750000000001
8110,CBG Helps Haiti Rm #2,22486,Lisel,Brooklyn,Park Slope,Private room,110,2,71,0.61,304,1.039181818181818
8490,"MAISON DES SIRENES1,bohemian apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,0.73,233,1.2686666666666668
8505,Sunny Bedroom Across Prospect Park,25326,Gregory,Brooklyn,Windsor Terrace,Private room,60,1,19,1.37,85,0.7505000000000001
9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,0.49,75,0.5761333333333334
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",31374,Shon,Manhattan,Inwood,Private room,44,3,108,1.11,311,5.17909090909091
9657,Modern 1 BR / NYC / EAST VILLAGE,21904,Dana,Manhattan,East Village,Entire home/apt,180,14,29,0.24,67,0.19977777777777778
9668,front room/double bed,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,50,3,242,2.04,355,14.713600000000001
9704,Spacious 1 bedroom in luxe building,32045,Teri,Manhattan,Harlem,Private room,52,2,88,1.42,255,4.095384615384615
9782,Loft in Williamsburg Area w/ Roof,32169,Andrea,Brooklyn,Greenpoint,Private room,55,4,197,1.65,284,9.49181818181818
9783,back room/bunk beds,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,50,3,273,2.37,359,18.400199999999998
10452,Large B&B Style rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,70,1,74,0.66,269,1.754857142857143
10962,"Lovely room 2 & garden; Best area, Legal rental",9744,Laurie,Brooklyn,South Slope,Private room,89,4,168,1.41,340,4.549213483146067
11708,Cute apt in artist's home,44145,Tyrome,Brooklyn,Bushwick,Entire home/apt,85,2,231,1.96,22,8.044235294117646
12048,LowerEastSide apt share shortterm 1,7549,Ben,Manhattan,Lower East Side,Shared room,40,1,214,1.81,188,15.0335
12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,Private room,68,2,245,2.08,96,11.097058823529412
12299,Beautiful Sunny Park Slope Brooklyn,47610,Abdul,Brooklyn,South Slope,Entire home/apt,120,3,15,0.39,345,0.17375000000000002
12303,1bdr w private bath. in lofty apt,47618,Yolande,Brooklyn,Fort Greene,Private room,120,7,25,0.23,311,0.25625
12318,West Side Retreat,16800,Cyn,Manhattan,Upper West Side,Private room,135,4,81,0.69,273,1.0139999999999998
12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,Entire home/apt,150,7,97,0.84,309,1.1898666666666666
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,Private room,130,3,248,2.25,215,6.2
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,61,0.52,265,0.8429090909090909
13394,Fort Greene brownstone ,52335,Alexander,Brooklyn,Fort Greene,Private room,80,3,135,1.16,192,3.6450000000000005
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,Private room,80,1,112,1.01,251,2.8139999999999996
14287,Cozy 1BD on Central Park West in New York City,56094,Joya,Manhattan,Upper West Side,Entire home/apt,151,2,73,0.63,302,0.7880132450331125
14290,* ORIGINAL BROOKLYN LOFT *,56104,James,Brooklyn,Williamsburg,Entire home/apt,228,3,82,0.7,140,0.6114035087719298
14314,Greenpoint Place...Has It All! ,56246,Jeanne,Brooklyn,Greenpoint,Entire home/apt,144,2,328,2.82,234,8.70111111111111
14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,Entire home/apt,200,7,19,0.22,257,0.1159
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,Private room,110,5,19,0.17,301,0.20209090909090907
15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Manhattan,Hell's Kitchen,Private room,69,2,289,2.49,294,14.617536231884058
15338,Room in Greenpoint Loft w/ Roof,32169,Andrea,Brooklyn,Greenpoint,Private room,49,4,138,1.19,320,6.1677551020408155
15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,Private room,80,2,42,0.38,263,0.7244999999999999
15711,2 bedroom - Upper East Side-great for kids,61491,D,Manhattan,Upper East Side,Entire home/apt,250,2,66,0.57,231,0.41447999999999996
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,Private room,55,7,27,0.23,292,0.6038181818181818
16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,Private room,80,1,338,4.72,72,24.166999999999998
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Daniel,Brooklyn,Williamsburg,Entire home/apt,275,1,148,1.4,362,1.2916363636363637
16821,Large Room in Amazing East Village Apt,4396,Casey,Manhattan,East Village,Private room,99,1,106,1.26,336,2.4197979797979796
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,Entire home/apt,225,4,190,1.64,215,2.2293333333333334
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,Entire home/apt,230,9,49,0.43,116,0.30465217391304344
17092,Cool Room in Hell's Kitchen,66243,Enzo,Manhattan,Hell's Kitchen,Private room,51,7,23,0.43,88,0.6449019607843137
17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,Tye And Etienne,Manhattan,Washington Heights,Private room,65,2,49,1.6,336,1.9600000000000002
17747,BLUE TRIM GUEST HOUSE,68599,George,Brooklyn,Clinton Hill,Private room,105,2,105,0.92,304,1.92
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,Entire home/apt,190,5,21,0.2,224,0.1326315789473684
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,Private room,200,1,142,1.5,322,1.775
18590,Fort Greene Retreat on the Park,71512,Blaise,Brooklyn,Fort Greene,Private room,95,3,143,1.28,132,3.4320000000000004
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,Private room,150,3,167,1.65,295,2.9503333333333335
18764,Cozy 2 BR in Williamsburg ,72014,Lulú,Brooklyn,Williamsburg,Private room,145,3,61,0.54,238,0.6478620689655172
19169,Entire 2 Bedroom - Large & Sunny,73128,JoLynn,Manhattan,Lower East Side,Entire home/apt,285,5,70,0.62,328,0.3978947368421053
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,Entire home/apt,130,6,16,0.15,38,0.14153846153846153
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,Entire home/apt,105,3,61,0.53,272,0.8888571428571428
20299,Oh glorious spring!,62407,Edward,Manhattan,East Village,Private room,60,3,194,1.73,26,8.827
20611,Cozy Bedroom in Williamsburg 3 BR,72014,Lulú,Brooklyn,Williamsburg,Private room,85,3,174,1.54,288,5.199529411764706
20724,Sunny room+Pvte office in huge loft,961342,Augustin,Brooklyn,Bushwick,Private room,65,4,24,0.28,317,0.4726153846153846
20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Brooklyn,Prospect Heights,Entire home/apt,131,4,166,3.4,207,5.57557251908397
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,Private room,98,7,16,0.2,185,0.19591836734693877
20853,2-bed brownstone duplex + garden,79070,Tracy,Brooklyn,Prospect Heights,Entire home/apt,250,7,21,0.3,158,0.1092
21293,Sunny Apartment in Artist Home,44145,Tyrome,Brooklyn,Bushwick,Entire home/apt,105,3,118,1.05,9,2.3038095238095235
21456,Light-filled classic Central Park ,42032,Dana,Manhattan,Upper West Side,Entire home/apt,140,3,81,0.71,198,0.9893571428571428
22911,The Stuydio Modern and Light Filled,87773,Shelly,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,139,1.23,311,2.4797599999999997
22918,loft bed - near transportation-15min to times sq,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,60,3,11,0.87,219,0.3428333333333333
23135,House On Henry (3rd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt,175,2,233,2.09,342,4.114114285714285
23501,Monkey Retreat Manhattan,63318,Meka,Manhattan,Washington Heights,Private room,65,2,68,0.6,312,1.673846153846154
23686,2000 SF 3br 2bath West Village private  townhouse,93790,Ann,Manhattan,West Village,Entire home/apt,500,4,46,0.55,243,0.1426
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Seth,Brooklyn,Williamsburg,Private room,101,3,335,3.02,152,13.333663366336632
25696,"1,800 sq foot in luxury building",107628,Dena,Manhattan,Harlem,Private room,100,2,170,1.61,346,4.437
26362,"Times Square, Safe, Clean and Cozy!",59734,Luiz,Manhattan,Hell's Kitchen,Private room,59,2,334,3.0,279,22.64406779661017
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Erica,Brooklyn,Clinton Hill,Private room,125,2,19,0.2,250,0.1824
26559,Beautiful Apartment East Village,112793,Sally,Manhattan,East Village,Entire home/apt,140,7,12,0.13,164,0.09685714285714285
26954,NYC fabulous views Manhattan's eye,115157,Nimo,Manhattan,Kips Bay,Entire home/apt,199,5,38,0.38,260,0.2635175879396985
26969,2 story family home in Williamsburg,115307,Alexandra,Brooklyn,Williamsburg,Entire home/apt,325,3,324,3.01,107,3.9976615384615384
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,Stacy,Manhattan,Upper West Side,Entire home/apt,235,6,27,0.27,199,0.14591489361702129
27385,Great Large 1 BR apt  in East Village!,72062,Bruce,Manhattan,East Village,Entire home/apt,225,1,115,1.05,299,1.0477777777777777
27531,Eveland Private Bed & Living Room w/ Own Entrance,118971,Evelyn,Brooklyn,South Slope,Private room,99,2,354,3.2,20,15.018181818181818
27644,Sugar Hill Rest Stop ,119510,Emma,Manhattan,Harlem,Entire home/apt,170,2,195,2.03,318,3.475588235294117
27659,3 Story Town House in Park Slope,119588,Vero,Brooklyn,South Slope,Entire home/apt,400,2,16,0.24,216,0.0496
27759,apartment next to Central park,119900,Sylvie,Manhattan,Upper West Side,Entire home/apt,170,7,13,0.12,224,0.08564705882352942
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,Entire home/apt,150,5,21,0.19,189,0.1666
29013,B & B Room 1,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,70,3,63,0.58,310,1.4220000000000002
29455,ACCOMMODATIONS GALORE #1,126607,Laurine,Manhattan,Harlem,Entire home/apt,120,3,155,1.42,213,3.125833333333333
29628,Sunny Room in New Condo,127608,Chris,Brooklyn,Clinton Hill,Private room,89,3,260,2.35,278,9.786516853932584
29683,Stylish & Sleek Apartment Near SoHo!,125857,Uli,Manhattan,East Village,Entire home/apt,185,5,73,0.66,209,0.6550270270270271
30927,Unique & Charming small 1br Apt. LES,120335,Cs,Manhattan,Lower East Side,Entire home/apt,105,3,32,0.29,16,0.3931428571428571
31130,Most Central Location!,117287,Lara,Manhattan,Hell's Kitchen,Private room,130,2,50,0.45,234,0.5576923076923077
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,Private room,76,2,426,3.89,275,27.409736842105268
32023,FLAT MACDONOUGH,137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,2.09,163,5.61144
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,Private room,135,4,84,0.77,365,1.1013333333333333
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Elisabeth,Brooklyn,Williamsburg,Entire home/apt,199,3,10,0.1,280,0.05527638190954774
32965,FLAT MACDONOUGH GARDEN,137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,1.72,170,2.9328695652173913
32969,Light filled Williamsburg Apartment,142833,Katherine,Brooklyn,Williamsburg,Entire home/apt,160,3,11,0.11,188,0.0763125
33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,Entire home/apt,195,4,240,2.19,214,3.9261538461538463
33014,NYC Zen,143048,Paula,Manhattan,East Village,Entire home/apt,195,3,30,0.28,248,0.19692307692307692
33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Lulú,Brooklyn,Williamsburg,Private room,80,3,200,1.86,262,7.150000000000001
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,Private room,44,8,27,1.05,280,1.2579545454545453
35526,Sun Filled Classic West Village Apt,120291,Karen,Manhattan,West Village,Private room,156,4,79,0.74,307,0.8811538461538462
36133,Classic Artist Loft Williamsburg,142684,White,Brooklyn,Williamsburg,Private room,125,3,155,1.61,1,3.2364000000000006
36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,Private room,69,2,34,0.32,10,0.6504347826086957
36934,Great location in Williamsburg,159370,Viviana,Brooklyn,Williamsburg,Entire home/apt,125,6,27,0.25,189,0.27
38638,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,Manhattan,Upper East Side,Entire home/apt,219,4,126,1.16,290,1.2427397260273974
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,Entire home/apt,475,3,23,0.27,230,0.06149473684210526
39267,CENTRAL PARK LOFT all for YOU,168417,Marie,Manhattan,Upper East Side,Entire home/apt,99,1,234,2.6,164,8.50909090909091
39282,Indie-Chic Share In Williamsburg,168525,Gus,Brooklyn,Williamsburg,Private room,69,4,202,1.86,53,8.372753623188407
39704,"Private, Large & Sunny 1BR w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,2.86,3,8.835111111111111
40039,Luxurious Condo in DUBMO with View,171851,Henry,Brooklyn,DUMBO,Private room,250,3,14,0.13,189,0.06327999999999999
42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Brooklyn,Clinton Hill,Private room,70,2,294,3.47,336,18.774000000000004
42729,House On Henry (2nd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,1.4,342,2.1818181818181817
42882,New York room with a view,185978,Newyorkroomwithaview,Staten Island,St. George,Private room,70,2,166,1.66,312,6.308
43957,Sunny cozy room in Brklyn townhouse,177536,Tessa,Brooklyn,Bushwick,Private room,50,2,47,0.94,37,1.8235999999999999
44096,Room with a View,190409,Waundell,Bronx,Highbridge,Private room,40,1,219,2.04,353,16.644
44161,Light+Open+Airy+Rustic+Modern Loft,193360,Young,Brooklyn,Williamsburg,Entire home/apt,150,2,193,1.78,177,3.5769333333333337
44212,West Inn 2 - East Village,72062,Bruce,Manhattan,East Village,Private room,125,1,84,0.78,310,1.1961600000000001
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,Private room,110,2,213,2.0,321,5.8090909090909095
44288,Your own Lovely West Village Studio,193637,Sara,Manhattan,West Village,Entire home/apt,170,3,86,0.8,246,0.9105882352941177
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Laurine,Manhattan,Harlem,Entire home/apt,165,3,80,0.75,231,0.8484848484848485
45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Queens,Ridgewood,Entire home/apt,350,8,10,0.11,365,0.031714285714285716
45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,Private room,99,4,122,1.18,233,2.6864646464646462
45940,Bright Spacious Luxury Condo,204724,Miyoung,Brooklyn,Williamsburg,Entire home/apt,200,4,33,0.58,1,0.2607
46544,Park Slope haven 15 mins from Soho,8198,Monica,Brooklyn,Park Slope,Entire home/apt,150,5,52,0.5,18,0.52
46723,SAFE  AND BEAUTIFUL ACCOMODATION,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,Private room,90,3,126,1.17,343,3.0380000000000003
46911,Large Room in private Brownstone in Park Slope,210746,Kathleen R.,Brooklyn,Prospect Heights,Private room,120,3,51,0.48,250,0.629
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,Teresa,Manhattan,Upper East Side,Private room,75,3,199,1.85,326,7.561999999999999
47926,LUX APT IN TIMES SQUARE NEW BUILDING,218404,Claudia,Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,0.38,299,0.20574545454545454
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,Shane,Manhattan,Lower East Side,Entire home/apt,299,2,109,1.04,207,0.7436789297658863
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,9744,Laurie,Brooklyn,South Slope,Entire home/apt,135,5,151,1.43,162,2.7179999999999995
51485,Lower East Side $57~/night,236655,Erina,Manhattan,Lower East Side,Private room,83,1,285,2.69,7,12.670481927710844
51572,Prime Location in Manhattan,237329,Lee,Manhattan,Chelsea,Private room,123,1,375,3.52,328,13.780487804878048
51850,( F) Excellent/Pvt Rm,27848,Jullett,Queens,Jamaica,Private room,55,2,52,0.49,365,1.4087272727272728
53477,3 floors of luxury!,204539,Mark,Queens,Middle Village,Entire home/apt,265,7,38,0.38,365,0.19788679245283017
54158,The Institute—Heart of Williamsburg,10889,Bob,Brooklyn,Williamsburg,Entire home/apt,249,2,358,3.44,164,6.3836144578313245
54453,MIDTOWN WEST - Large alcove studio,255583,Anka,Manhattan,Hell's Kitchen,Shared room,105,6,10,0.09,363,0.10380952380952381
54508,Sml Rm in pr Brst  Park Sl great for Med/students,210746,Kathleen R.,Brooklyn,Prospect Heights,Private room,100,2,226,2.12,250,7.0512
54544,City Room - Private Penthouse Apt.,256161,Wayne,Manhattan,Harlem,Entire home/apt,121,1,104,1.0,247,1.71900826446281
54626,Cozy bedroom by Yankee Stadium,190409,Waundell,Bronx,Highbridge,Private room,45,1,138,1.45,323,7.513333333333334
54860,Great apartment with private bathroom and entrance,258164,Jenny,Manhattan,East Harlem,Private room,100,5,204,1.92,192,5.956799999999999
55467,Private Garden Apt • New Renovation,260709,Paul,Brooklyn,Williamsburg,Entire home/apt,140,2,253,3.04,125,7.300857142857143
55498,Modern comfort in art infused landmark Brownstone,262138,Tami,Brooklyn,Bedford-Stuyvesant,Private room,71,2,23,0.22,91,0.3952112676056338
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",88209,Jason,Manhattan,NoHo,Private room,130,2,115,1.17,75,1.9196153846153845
55737,Sleek & Comfortable Soho Apt,263414,Pete,Manhattan,West Village,Entire home/apt,199,5,129,1.22,286,1.4390954773869347
55959,Spacious Williamsburg Share w/ LOFT BED,168525,Gus,Brooklyn,Williamsburg,Private room,69,4,82,1.13,60,2.531304347826087
56467,Cozy East Village Railroad 1 Bed!,267593,Leonardo,Manhattan,East Village,Entire home/apt,130,1,204,2.04,192,4.7704615384615385
56525,1 Bedroom Loft w/ Private Roof Deck,268014,Alex,Brooklyn,Greenpoint,Entire home/apt,195,2,69,0.65,58,0.5838461538461538
56859,City Room - Private & Comfy Bedroom,256161,Wayne,Manhattan,Harlem,Private room,64,1,192,1.84,245,8.52
57166,Elegant NYC Pad,272006,Vasili,Queens,Ditmars Steinway,Entire home/apt,140,2,17,0.16,292,0.14085714285714285
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,S.M.,Brooklyn,Cobble Hill,Entire home/apt,159,2,222,2.12,279,4.35622641509434
57618,"Great new apt, close to everything",274557,Ana,Manhattan,Hell's Kitchen,Entire home/apt,250,3,94,0.96,3,0.7369600000000001
57754,Stylish Large Gramercy Loft!,275578,R,Manhattan,Flatiron District,Entire home/apt,305,2,108,1.09,201,0.7400655737704918
57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,Simon,Manhattan,Harlem,Entire home/apt,155,3,222,2.1,232,4.44
58059,PRIVATE Room on Historic Sugar Hill,277379,Agnes,Manhattan,Harlem,Private room,60,1,458,4.58,258,42.594
58062,South Slope Green,277394,Linda,Brooklyn,Windsor Terrace,Private room,135,2,21,0.26,272,0.196
58467,"17 Flr. Manhattan Views, Nr. Subway",279797,Dave,Manhattan,Roosevelt Island,Private room,120,7,17,0.3,341,0.18416666666666667
59014,"Spacious 1BR, Adorable Clean Quiet",282927,Drica,Manhattan,Lower East Side,Entire home/apt,150,3,41,0.39,244,0.37993333333333335
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,274782,Betty,Brooklyn,Greenpoint,Entire home/apt,135,2,69,0.67,12,0.8535555555555555
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",186084,Ricardo & Ashlie,Manhattan,Chinatown,Entire home/apt,250,4,18,0.18,265,0.08496
60164,"Beautiful, elegant 3 bed SOHO loft",289653,Harrison,Manhattan,SoHo,Entire home/apt,500,4,94,0.99,329,0.37412
60457,Spacious Greenwich Village Apt,99212,Jessica,Manhattan,Greenwich Village,Entire home/apt,225,5,10,0.1,91,0.04888888888888889
60666,City Room - Private Luxury Suite,256161,Wayne,Manhattan,Harlem,Private room,92,1,189,1.82,253,5.793260869565217
60680,The gem of the East Village,292630,Mich,Manhattan,East Village,Entire home/apt,99,2,127,1.22,320,2.8478787878787872
60948,ACCOMMODATIONS GALORE #2,126607,Laurine,Manhattan,East Harlem,Entire home/apt,140,3,135,1.3,192,2.217857142857143
61224,Huge Chelsea Loft,291112,Frank,Manhattan,Chelsea,Entire home/apt,500,2,35,0.34,348,0.09380000000000001
61492,Exclusive Room with Private Bath in  LES,297769,Tunji,Manhattan,Chinatown,Private room,120,4,171,1.8,353,3.9899999999999998
62095,BK Sweet Suite w/Kitchen&FullBath,281764,Colette&Sean,Brooklyn,East Flatbush,Entire home/apt,65,3,238,2.3,2,12.083076923076923
62430,BROWNSTONE SUNDRENCHED BEAUTY,197755,Sheila,Brooklyn,Bushwick,Entire home/apt,99,3,111,2.13,68,3.5093939393939393
62452,A SpeciaL!! Private Room in NY,303939,Lissette,Staten Island,Tompkinsville,Private room,36,2,193,1.85,360,15.279166666666669
62787,C Private Room By The Ferry,303939,Lissette,Staten Island,Tompkinsville,Private room,37,2,177,1.71,320,12.964054054054055
62891,Smallest House In The Village,306545,Olivia,Manhattan,East Village,Entire home/apt,175,3,185,1.78,326,2.938857142857143
62903,Beautiful modern studio apartment in heart of NYC,306605,Daniel,Manhattan,Chelsea,Entire home/apt,205,9,62,0.7,76,0.5141463414634146
62925,Beautiful Landmarked Duplex,306739,Maya,Brooklyn,Greenpoint,Entire home/apt,285,3,124,1.22,279,0.9658947368421051
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,308875,Scott,Brooklyn,Williamsburg,Private room,59,2,181,1.77,15,8.497796610169491
63320,D Private Che@p Room 2 Explore NYC,303939,Lissette,Staten Island,Tompkinsville,Private room,36,2,333,3.19,340,38.75749999999999
63360,Safe cute near subway& Manhattan NY NY retro style,307962,Dennis & Naoko,Queens,Astoria,Entire home/apt,99,5,441,4.5,226,24.5
63546,Large and Cozy Private Bedroom,308652,Antonín,Brooklyn,Kensington,Private room,39,1,45,0.46,365,1.6846153846153846
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,310670,Vie,Bronx,Eastchester,Entire home/apt,105,2,38,0.5,365,0.5428571428571428
63657,"Private, Large & Sunny Top Floor Apt  w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,248,2.39,11,6.227555555555556
63693,Cottage in the Village,306545,Olivia,Manhattan,East Village,Entire home/apt,390,5,143,1.38,316,0.8726666666666666
63719,BEDROOM1 FOR RENT 10min from Manhan,311286,Helene,Brooklyn,Bedford-Stuyvesant,Private room,70,3,36,0.41,281,0.7251428571428571
64107,BROOKLYN  STUDIO APARTMENT,313317,Niya,Brooklyn,Crown Heights,Private room,100,3,279,2.69,301,10.2951
64277,BEDROOM2 FOR RENT  10min from Manh,311286,Helene,Brooklyn,Bedford-Stuyvesant,Private room,70,4,18,0.22,189,0.3137142857142857
64365,Crown Heights Garden Apt.,314582,Anthony,Brooklyn,Crown Heights,Private room,60,2,227,2.27,287,12.3715
64837,ENJOY Downtown NYC!!,46978,Edward,Manhattan,East Village,Private room,68,2,203,1.96,86,8.836470588235294
65019,Charming UWS Treehouse Apt,317809,Claire,Manhattan,Upper West Side,Entire home/apt,115,2,210,2.1,261,5.660869565217391
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,319092,Juhli,Brooklyn,Bedford-Stuyvesant,Private room,75,5,64,0.67,68,1.4250666666666667
65615,Farmhouse Apartment in Williamsburg,320761,Valerie,Brooklyn,Williamsburg,Entire home/apt,130,10,49,0.48,152,0.5578461538461538
65660,Bright+Spacious Williamsburg Abode!,320538,Larissa,Brooklyn,Williamsburg,Entire home/apt,95,4,132,1.27,46,3.1541052631578945
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",321756,Eric,Manhattan,Harlem,Private room,75,3,20,0.26,364,0.33599999999999997
65834,Beautiful 1 Bedroom Apt Park Slope,321934,Jessica,Brooklyn,Park Slope,Entire home/apt,175,2,11,0.11,246,0.06977142857142858
66008,CHARMING CARROLL GARDENS APT.,322884,Melissa,Brooklyn,Carroll Gardens,Entire home/apt,190,3,51,0.57,288,0.4214210526315789
66251,East Village Loft with Piano & Patio,324460,Samir,Manhattan,East Village,Entire home/apt,212,3,67,1.31,51,0.7300471698113208
66275,Lower East Side Magic Room,314941,Tony,Manhattan,Lower East Side,Private room,95,1,109,1.11,364,2.420947368421053
66718,West Harlem Home Base - Eco-Apt.,136227,Henning,Manhattan,Harlem,Entire home/apt,135,6,187,1.87,189,3.975481481481482
